C:\Python27\python.exe J:/github_repos/HDAnalysis/HDAnalysis.py
ESubject                Freq  Process                  Path                                             Method    Subject
277-470-187-145-77         1  kube-scheduler           /%UUID%/ranges/serviceips                        GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/quota.TestQuota, 76', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-470-187-145-77        15  kube-scheduler           /%UUID%/ranges/serviceips                        GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/registry/service/ipallocator/controller.(*Repair).RunUntil.func1, 69', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/registry/service/ipallocator/controller.(*Repair).RunUntil, 72', '/pkg/registry/service/ipallocator/controller.(*Repair).RunUntil-fm, 98', 'runtime.goexit, 1998']
277-470-146-89-114         3  kube-scheduler           /%UUID%/ranges/serviceips                        GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/registry/service/allocator/etcd.(*Etcd).tryUpdate, 146', '/pkg/registry/service/allocator/etcd.(*Etcd).Allocate, 89', '/pkg/registry/service/ipallocator.(*Range).Allocate, 114', '/pkg/registry/service.(*REST).Create, 106', '/pkg/apiserver.(*namedCreaterAdapter).Create, 440', '/pkg/apiserver.createHandler.func1.1, 403', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-470-146-141-146        3  kube-scheduler           /%UUID%/ranges/serviceips                        GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/registry/service/allocator/etcd.(*Etcd).tryUpdate, 146', '/pkg/registry/service/allocator/etcd.(*Etcd).Release, 141', '/pkg/registry/service/ipallocator.(*Range).Release, 146', '/pkg/registry/service.(*REST).Delete, 173', '/pkg/api/rest.GracefulDeleteAdapter.Delete, 141', '/pkg/api/rest.(*GracefulDeleteAdapter).Delete, 12', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
527-187-145-77-64          1  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestAliceNotForbiddenOrUnauthorized, 555', 'testing.tRunner, 473', 'runtime.goexit, 1998']
527-187-145-77-64          1  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestAuthModeAlwaysAllow, 406', 'testing.tRunner, 473', 'runtime.goexit, 1998']
527-187-145-77-64          1  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestAuthModeAlwaysDeny, 504', 'testing.tRunner, 473', 'runtime.goexit, 1998']
527-187-145-77-64          1  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestAuthorizationAttributeDetermination, 877', 'testing.tRunner, 473', 'runtime.goexit, 1998']
527-187-145-77-64          1  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestBobIsForbidden, 624', 'testing.tRunner, 473', 'runtime.goexit, 1998']
527-187-145-77-64          1  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestImpersonateIsForbidden, 730', 'testing.tRunner, 473', 'runtime.goexit, 1998']
527-187-145-77-64          1  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestKindAuthorization, 1041', 'testing.tRunner, 473', 'runtime.goexit, 1998']
527-187-145-77-64          1  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestNamespaceAuthorization, 943', 'testing.tRunner, 473', 'runtime.goexit, 1998']
527-187-145-77-64          2  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestRBAC, 383', 'testing.tRunner, 473', 'runtime.goexit, 1998']
527-187-145-77-64          1  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestReadOnlyAuthorization, 1125', 'testing.tRunner, 473', 'runtime.goexit, 1998']
527-187-145-77-64          1  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestUnknownUserIsUnauthorized, 668', 'testing.tRunner, 473', 'runtime.goexit, 1998']
527-187-145-77-64          1  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestWebhookTokenAuthenticator, 1184', 'testing.tRunner, 473', 'runtime.goexit, 1998']
527-187-145-77-64          1  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/master.TestMasterService, 384', 'testing.tRunner, 473', 'runtime.goexit, 1998']
527-187-145-77-64          1  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/master.(*Controller).Start, 85', '/pkg/master.New, 213', '/test/integration/quota.TestQuota, 76', 'testing.tRunner, 473', 'runtime.goexit, 1998']
550-187-145-77-64         15  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 550', '/pkg/registry/service/allocator/etcd.(*Etcd).CreateOrUpdate, 187', '/pkg/registry/service/ipallocator/controller.(*Repair).runOnce, 145', '/pkg/registry/service/ipallocator/controller.(*Repair).(/pkg/registry/service/ipallocator/controller.runOnce)-fm, 77', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/ipallocator/controller.(*Repair).RunOnce, 77', '/pkg/registry/service/ipallocator/controller.(*Repair).RunUntil.func1, 69', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/registry/service/ipallocator/controller.(*Repair).RunUntil, 72', '/pkg/registry/service/ipallocator/controller.(*Repair).RunUntil-fm, 98', 'runtime.goexit, 1998']
550-146-89-114-106         3  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 550', '/pkg/registry/service/allocator/etcd.(*Etcd).tryUpdate, 146', '/pkg/registry/service/allocator/etcd.(*Etcd).Allocate, 89', '/pkg/registry/service/ipallocator.(*Range).Allocate, 114', '/pkg/registry/service.(*REST).Create, 106', '/pkg/apiserver.(*namedCreaterAdapter).Create, 440', '/pkg/apiserver.createHandler.func1.1, 403', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
550-146-141-146-173        3  kube-scheduler           /%UUID%/ranges/serviceips                        PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 550', '/pkg/registry/service/allocator/etcd.(*Etcd).tryUpdate, 146', '/pkg/registry/service/allocator/etcd.(*Etcd).Release, 141', '/pkg/registry/service/ipallocator.(*Range).Release, 146', '/pkg/registry/service.(*REST).Delete, 173', '/pkg/api/rest.GracefulDeleteAdapter.Delete, 141', '/pkg/api/rest.(*GracefulDeleteAdapter).Delete, 12', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-261-174-80-63          1  kube-scheduler           /%UUID%/ranges/servicenodeports                  GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/registry/service/allocator/etcd.(*Etcd).Get, 174', '/pkg/registry/service/portallocator/controller.(*Repair).runOnce, 80', '/pkg/registry/service/portallocator/controller.(*Repair).(/pkg/registry/service/portallocator/controller.runOnce)-fm, 63', '/pkg/client/unversioned.RetryOnConflict.func1, 64', '/pkg/util/wait.ExponentialBackoff, 151', '/pkg/client/unversioned.RetryOnConflict, 63', '/pkg/registry/service/portallocator/controller.(*Repair).RunOnce, 63', '/pkg/master.(*Controller).Start, 89', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestAliceNotForbiddenOrUnauthorized, 555', 'testing.tRunner, 473', 'runtime.goexit, 1998']
